FINANCIAL SERVICES,0,16606,54486,12849,88133,21223,59749,23289,36818,12210,39858,61962,22134,97985,14710,16614,13274,22957,12151,18151,35339,21202,23864,20923,19053,35607,19178,27387,18699,27867,20850,15994,25712,16427,11850,12987,18553,16771,11477,12623,13351,15814,15292,15539,17119,16766,11692,11502,13551,15273,12804,15249,13162,11141,16179,11512,13777,11565,11748,10968,12670,11466,11024,10964,11016,11362,10977,10943
SHOES,16606,0,48588,7985,82687,16591,54939,18505,31814,7264,35250,57282,17220,93001,9092,11706,8164,16955,7141,13245,30585,16360,18376,16265,14071,30345,13506,22703,13939,23067,16020,11130,20328,11637,7018,8171,13583,11945,6595,7805,8385,10630,10462,10595,11935,10984,6656,6622,8853,9603,7794,10389,8084,6295,11173,6656,8917,6723,6750,6122,7770,6628,6182,6116,6172,6544,6135,6097
PERSONAL CARE,54486,48588,0,46797,99757,52073,78609,54081,57088,46254,64092,82460,52626,111707,47820,49962,47040,53445,46165,49695,61911,52902,54572,51229,49815,52843,51058,55013,50575,52585,53164,48552,48472,49307,46028,46525,50769,49259,45773,46941,46891,47750,48870,48283,49721,49290,45796,45808,47705,48023,46482,48249,46622,45651,49371,45854,48077,45927,45962,45490,46680,45858,45548,45474,45538,45896,45501,45463
PAINT AND ACCESSORIES,12849,7985,46797,0,81202,12778,52102,14500,28673,3361,33505,54355,13653,90458,5891,7651,4469,14594,3286,9460,27140,12659,15327,12602,10428,27596,10531,19300,10192,19736,12229,6843,17287,7586,2979,4174,9710,7828,2576,3782,4494,6975,6347,6696,8510,8057,2777,2591,4950,6520,3981,6462,4351,2224,7452,2637,4846,2650,2837,2037,3883,2569,2095,2037,2085,2467,2048,2010
DSD GROCERY,88133,82687,99757,81202,0,78284,82746,87248,85213,80561,89163,90859,81107,103818,82217,83773,81575,87864,80676,84040,79990,81117,86485,76710,83876,90422,85001,75770,80078,78900,85829,82777,87051,83410,80361,79518,84684,83198,80354,81448,81372,82813,83317,82390,83242,83375,80365,80367,81926,82324,81115,80632,81157,80210,83038,80385,82790,80564,80497,80061,80857,80399,80125,80047,80115,80485,80076,80040
MEAT - FRESH & FROZEN,21223,16591,52073,12778,78284,0,49048,22544,33419,12095,39393,50395,21119,84270,14639,16525,13243,23082,12118,17970,29190,19333,23287,15718,18328,34210,18939,21148,16768,24502,20673,15853,25013,16438,11777,11350,18452,16290,11420,12616,13272,15647,15149,15308,17122,16669,11643,11439,13706,15232,12735,14284,13021,11118,16202,11485,13736,11516,11659,10929,12637,11449,10987,10925,10977,11361,10940,10902
DAIRY,59749,54939,78609,52102,82746,49048,0,59360,61505,51379,70045,63431,56659,83796,53785,55131,52591,61006,51552,55984,53250,55381,59005,47202,55552,66524,57117,48256,52164,55316,58713,54517,60589,55074,51249,50202,56728,54866,51012,52232,52442,54175,54269,53958,55408,54951,51165,51059,52988,53714,52085,52402,52255,50808,55086,51111,53414,51166,51303,50643,51965,51075,50705,50635,50695,51075,50658,50620
PETS AND SUPPLIES,23289,18505,54081,14500,87248,22544,59360,0,37179,14049,42435,61803,23595,96434,16569,18371,15129,24906,13998,19736,35762,22655,25735,22224,20548,35944,20769,28646,20374,28832,22631,17425,26795,18044,13655,14790,20288,17726,13310,14510,15146,17507,16701,17140,18888,18635,13493,13327,15632,17124,14649,16760,14971,12992,18014,13391,15588,13386,13555,12807,14517,13303,12865,12803,12855,13239,12818,12780
HOUSEHOLD CHEMICALS/SUPP,36818,31814,57088,28673,85213,33419,61505,37179,0,28180,50754,65604,35510,95307,30448,32074,29302,37867,28253,32021,44121,35262,37460,32675,32573,45323,34170,36903,32753,31975,35988,30686,37642,31773,27920,28265,33597,31767,27633,28841,28903,30332,31066,30277,32461,31950,27760,27682,29711,30733,28702,30101,28946,27409,31903,27696,30039,27811,27904,27236,28626,27620,27298,27234,27288,27668,27251,27213
NULL,12210,7264,46254,3361,80561,12095,51379,14049,28180,0,32818,53614,13008,89803,5210,7234,3812,13847,2639,8915,26467,12006,14644,11871,9807,27041,9700,18599,9517,19121,11592,6696,16692,7197,2370,3523,9145,7457,1947,3169,3901,6362,5812,6143,7879,7318,2170,1974,4359,5771,3280,5847,3646,1613,6887,2026,4231,2035,2206,1426,3272,1956,1484,1426,1474,1846,1437,1399
